name,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,calmar,frac_pct,partial_tp_hits,trail_hits
"REG·SuperTrend(7,2.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"BASE·VWAP(24,1.5)",-5.794,-41.73,6.72,48.45,49.0,2.0,-5.7,202.8,1.61,9.8,814,771
"REG·VWAP(24,1.5)",-1.578,-9.71,10.69,20.4,53.7,2.21,-4.0,91.1,3.34,9.2,414,493
"BASE·HullMA(20,55)",-2.079,-7.68,3.22,10.9,53.1,2.11,-2.3,66.4,1.55,6.7,299,374
"REG·HullMA(20,55)",-0.775,-3.85,5.66,9.51,54.4,2.28,-2.9,38.1,2.07,10.3,174,211
"BASE·HullMA(10,30)",-3.188,-15.62,7.09,22.71,53.4,2.11,-3.6,118.5,2.63,7.9,531,649
"REG·HullMA(10,30)",-0.678,-4.4,13.59,17.99,54.7,2.36,-3.6,59.0,3.79,12.5,274,323
"BASE·Keltner(20,1.5)",-0.009,-1.92,1.01,2.93,52.6,2.13,-1.4,21.3,0.57,5.7,97,122
"REG·Keltner(20,1.5)",-0.095,-2.1,0.72,2.81,52.7,2.13,-1.3,20.4,0.51,5.7,93,117
"BASE·Keltner(20,2.0)",-0.743,-3.62,1.85,5.46,53.2,2.15,-2.6,28.4,0.64,7.9,129,161
"REG·Keltner(20,2.0)",-0.768,-3.56,1.96,5.51,53.5,2.18,-2.5,28.1,0.71,8.1,128,159
"BASE·PinBar(50,2.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"REG·PinBar(50,2.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"BASE·PinBar(100,2.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"REG·PinBar(100,2.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"BASE·RSIDiv(14,20)",3.157,-1.83,0.25,2.08,52.0,1.98,-1.3,17.8,0.02,4.8,79,103
"REG·RSIDiv(14,20)",-0.058,-0.02,0.01,0.02,47.4,inf,-0.0,0.7,inf,1.3,3,3
"BASE·RSIDiv(14,30)",0.135,-1.73,0.39,2.11,53.1,2.13,-1.2,15.6,0.35,5.6,71,88
"REG·RSIDiv(14,30)",-0.642,-0.02,-0.0,0.01,42.5,inf,-0.0,0.4,inf,1.3,1,2
BASE·MTF_sw3(v2),7.719,140.66,185.71,45.05,63.8,4.79,-2.2,92.5,87.49,20.0,487,408
REG·MTF_sw3(v2),7.473,132.88,176.59,43.71,63.7,4.75,-2.4,89.4,78.98,20.1,470,394
BASE·AdaptMTF(v2-base),7.951,149.03,193.57,44.53,64.1,4.92,-2.1,90.5,92.45,20.2,479,395
REG·AdaptMTF(v2-base),7.768,141.85,185.33,43.48,64.1,4.89,-2.3,88.6,84.46,20.2,468,387
