name,net_sharpe,gross_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,n_trades,calmar,frac_pct,sl_hits,tp_hits
"CCI(p20,et50)+RM15x2",0.172,-0.066,-1.35,0.52,1.87,39.2,1.15,-1.5,12.6,765,0.05,6.1,81,48
"WR(p14,et50)+RM15x2",0.168,-0.129,-1.06,0.82,1.88,38.9,1.08,-0.9,18.1,1104,0.65,4.3,121,68
"CCI(p20,et50)+RM1x3",0.148,-0.259,-0.75,1.32,2.07,31.4,1.18,-1.2,13.4,818,0.66,6.3,108,42
"SAR(af0.02,et50)+RM1x3",0.127,-0.073,-2.54,1.46,4.0,29.0,1.1,-1.7,31.2,1898,0.45,5.3,256,94
"WR(p21,et50)+RM2x3",0.124,-0.207,-0.57,0.94,1.51,39.3,1.14,-1.3,10.8,657,0.52,5.8,62,16
"HA(cb2,et20)+RM15x3",0.112,-0.067,-1.31,0.79,2.1,31.2,1.13,-1.0,28.2,1714,0.98,3.1,125,44
"SAR(af0.01,et50)+RM1x3",0.104,-0.059,-2.17,1.22,3.39,28.9,1.08,-1.6,28.3,1721,0.49,4.9,235,83
"WR(p21,et50)+RM15x3",0.017,0.154,0.19,1.77,1.58,35.2,1.16,-0.8,11.5,701,1.1,5.6,82,24
"SAR(af0.01,et20)+RM2x3",0.015,-0.061,-0.79,3.33,4.12,36.1,1.07,-2.2,34.2,2079,1.03,5.0,156,47
"SAR(af0.02,et20)+RM1x3",0.001,-0.0,-2.43,1.34,3.77,30.0,1.11,-1.2,39.1,2381,0.36,4.0,302,111
"WR(p21,et50)+RM15x2",-0.014,0.208,-0.14,2.01,2.15,40.4,1.25,-1.3,11.6,708,1.84,7.6,78,44
Chandelier(p14)+RM1x2,-0.041,0.01,-3.21,0.79,4.0,35.2,1.11,-1.2,33.7,2049,0.25,4.9,240,137
"WR(p14,et50)+RM1x3",-0.047,0.022,-1.58,0.73,2.31,30.2,1.08,-0.9,20.2,1231,0.52,4.7,165,62
"HA(cb2,et50)+RM15x2",-0.087,0.112,-0.54,0.7,1.24,35.0,1.12,-0.8,19.0,1157,1.08,2.7,102,64
"SAR(af0.01,et50)+RM2x3",-0.146,0.089,-2.36,1.45,3.81,36.2,1.1,-2.6,26.6,1616,0.26,5.9,140,40
"SAR(af0.01,et20)+RM1x3",-0.165,0.063,-2.64,1.01,3.65,29.0,1.07,-1.2,35.0,2128,0.59,4.3,278,97
"WR(p21,et50)+RM1x3",-0.166,0.533,-0.58,1.87,2.45,32.5,1.28,-1.1,12.6,768,1.64,8.0,101,39
"SAR(af0.02,et20)+RM15x2",-0.222,0.106,-2.3,1.1,3.4,36.9,1.12,-1.2,38.7,2352,0.44,3.6,220,132
"SAR(af0.01,et50)+RM1x2",-0.323,0.123,-2.64,1.0,3.64,35.6,1.08,-1.4,28.6,1741,0.54,5.2,217,120
"WR(p21,et50)+RM1x2",-0.44,0.685,-0.98,1.52,2.5,40.3,1.27,-1.1,12.7,774,1.81,8.1,90,57
"SAR(af0.02,et20)+RM1x2",-0.484,0.292,-2.39,1.44,3.83,36.1,1.12,-0.9,39.6,2408,0.76,4.0,284,166
"SAR(af0.02,et20)+RM15x3",-0.541,0.05,-2.54,0.23,2.77,34.1,1.12,-1.3,38.1,2316,0.35,3.0,224,80
"SAR(af0.01,et20)+RM1x2",-0.748,0.142,-2.9,0.55,3.45,35.3,1.08,-0.9,35.1,2138,0.42,4.0,261,144
"SAR(af0.02,et20)+RM2x3",-0.897,0.146,-1.98,0.32,2.31,36.3,1.11,-0.8,37.1,2259,0.32,2.6,149,50
"HA(cb3,et20)+RM2x3",-1.17,0.268,-1.72,0.39,2.11,36.5,1.22,-1.4,22.5,1370,0.59,3.8,96,25
"HA(cb3,et20)+RM1x2",-1.35,-0.064,-0.88,-0.04,0.84,34.2,1.06,-0.4,24.5,1490,0.04,1.4,161,90
"HA(cb3,et20)+RM15x3",-1.536,0.523,-1.45,0.5,1.95,33.7,1.21,-1.1,23.2,1410,1.12,3.5,120,40
"HA(cb3,et20)+RM15x2",-1.689,0.404,-1.41,0.34,1.74,36.1,1.17,-1.0,23.3,1415,0.96,3.1,115,68
"HA(cb3,et20)+RM1x3",-1.945,0.018,-0.98,0.01,0.99,29.0,1.06,-0.5,24.3,1476,0.18,1.7,172,57
"SAR(af0.02,et50)+RM2x3",-1.957,-0.588,-2.91,-0.87,2.03,35.3,1.06,-1.6,28.6,1737,-0.47,2.9,144,42
