name,sharpe,winrate,return,t_month,max_dd,n_trades,n_pairs
"BBScalp(p10,std1.0,rsi7)",-3.288,52.96,-0.078,623.0,-0.18,1601,5
"StochScalp(k5,d3,os15)",-3.412,39.15,-0.048,384.0,-0.08,986,5
"MACDZero(f8,s21,t21)",-3.541,44.61,-0.053,213.0,-0.1,547,5
"StochScalp(k5,d3,os15)",-3.552,44.25,-0.06,361.0,-0.14,926,5
"BBScalp(p14,std1.5,rsi7)",-3.668,55.17,-0.103,437.0,-0.19,1122,5
"VolBreak(vm1.8,bm0.6,et34)",-3.944,44.52,-0.053,114.0,-0.11,294,5
"CCIScalp(p14,thr50,et21)",-3.961,44.0,-0.054,179.0,-0.12,459,5
"MACDZero(f3,s8,t21)",-4.048,40.97,-0.046,353.0,-0.07,906,5
"BBScalp(p10,std1.5,rsi5)",-4.064,55.55,-0.084,528.0,-0.16,1357,5
"BBScalp(p10,std1.5,rsi7)",-4.124,55.43,-0.08,522.0,-0.15,1340,5
"BBScalp(p10,std1.5,rsi7)",-4.183,55.25,-0.086,530.0,-0.16,1361,5
"StochScalp(k3,d3,os15)",-4.227,41.37,-0.081,404.0,-0.17,1038,5
"BBScalp(p10,std1.5,rsi7)",-4.235,55.38,-0.087,528.0,-0.16,1356,5
"BBScalp(p10,std1.5,rsi9)",-4.238,55.31,-0.088,528.0,-0.16,1356,5
"StochScalp(k5,d3,os10)",-4.356,40.93,-0.061,406.0,-0.1,1042,5
"VolBreak(vm1.5,bm0.5,et21)",-4.511,42.46,-0.054,172.0,-0.12,443,5
"RSIScalp(p5,os42)",-4.562,43.24,-0.047,115.0,-0.07,295,5
"VolBreak(vm2.0,bm0.6,et21)",-4.611,43.28,-0.059,95.0,-0.13,244,5
"VolBreak(vm1.8,bm0.6,et21)",-4.692,43.43,-0.058,119.0,-0.11,305,5
"VolBreak(vm1.5,bm0.4,et21)",-4.76,42.05,-0.057,182.0,-0.12,468,5
"VolBreak(vm1.8,bm0.6,et13)",-4.898,43.61,-0.061,121.0,-0.11,312,5
"VolBreak(vm1.8,bm0.8,et21)",-4.936,42.29,-0.059,109.0,-0.12,280,5
"CCIScalp(p7,thr50,et21)",-5.173,44.55,-0.071,229.0,-0.12,587,5
"RSIScalp(p14,os42)",-5.189,11.11,-0.014,3.0,-0.01,5,3
"CCIScalp(p10,thr75,et21)",-5.29,43.81,-0.075,142.0,-0.13,365,5
"VolBreak(vm1.8,bm0.6,et8)",-5.36,42.73,-0.063,127.0,-0.11,325,5
"BBScalp(p8,std1.5,rsi7)",-5.578,54.75,-0.099,602.0,-0.12,1546,5
"BBScalp(p20,std1.5,rsi7)",-5.644,52.2,-0.11,360.0,-0.17,925,5
"StochScalp(k5,d5,os15)",-6.464,41.35,-0.074,317.0,-0.11,814,5
