name,group,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,n_trades,calmar,frac_pct
"MTF(sw10,e50)+RM1x2+f40","MTF(sw10,e50)",4.434,71.83,98.43,26.59,48.1,1.86,-3.0,43.2,5251,32.93,25.3
"MTF(sw10,e50)+RM1x2+f60","MTF(sw10,e50)",4.554,81.62,109.21,27.6,48.1,1.86,-3.1,43.2,5251,35.55,26.3
"MTF(sw10,e50)+RM1x3+f40","MTF(sw10,e50)",3.31,48.64,65.7,17.07,38.6,1.8,-3.9,32.6,3969,15.95,21.5
"MTF(sw10,e50)+RM1x3+f60","MTF(sw10,e50)",3.397,54.87,72.54,17.67,38.6,1.8,-3.9,32.6,3969,17.45,22.3
"MTF(sw10,e50)+RM15x2+f40","MTF(sw10,e50)",2.865,45.89,61.43,15.54,47.1,1.68,-4.3,27.7,3368,13.27,23.1
"MTF(sw10,e50)+RM15x2+f60","MTF(sw10,e50)",3.063,59.64,76.3,16.67,47.1,1.68,-4.4,27.7,3368,15.94,24.7
"MTF(sw10,e50)+RM15x3+f40","MTF(sw10,e50)",2.528,41.37,54.06,12.69,43.4,1.78,-5.5,22.5,2741,9.96,23.2
"MTF(sw10,e50)+RM15x3+f60","MTF(sw10,e50)",2.661,51.6,65.06,13.46,43.4,1.78,-5.6,22.5,2741,11.73,24.5
"MTF(sw10,e50)+RM2x2+f40","MTF(sw10,e50)",2.247,38.74,51.28,12.54,50.0,1.69,-6.6,22.0,2676,7.7,23.4
"MTF(sw10,e50)+RM2x2+f60","MTF(sw10,e50)",2.395,51.02,64.68,13.65,50.0,1.69,-6.8,22.0,2676,9.31,25.5
"MTF(sw10,e100)+RM1x2+f40","MTF(sw10,e100)",4.227,60.51,83.9,23.39,48.2,1.87,-2.8,38.7,4711,30.66,24.8
"MTF(sw10,e100)+RM1x2+f60","MTF(sw10,e100)",4.278,64.88,88.82,23.94,48.2,1.87,-2.8,38.7,4711,31.66,25.4
"MTF(sw10,e100)+RM1x3+f40","MTF(sw10,e100)",3.283,42.72,57.39,14.67,38.7,1.82,-3.5,29.1,3536,15.69,20.7
"MTF(sw10,e100)+RM1x3+f60","MTF(sw10,e100)",3.307,44.8,59.7,14.9,38.7,1.82,-3.5,29.1,3536,16.2,21.1
"MTF(sw10,e100)+RM15x2+f40","MTF(sw10,e100)",2.867,41.94,55.56,13.63,47.4,1.71,-3.7,24.7,3002,14.06,22.7
"MTF(sw10,e100)+RM15x2+f60","MTF(sw10,e100)",2.987,50.06,64.43,14.37,47.4,1.71,-3.8,24.7,3002,15.33,23.9
"MTF(sw10,e100)+RM15x3+f40","MTF(sw10,e100)",2.507,37.45,48.6,11.15,43.6,1.79,-5.2,20.1,2446,9.81,22.8
"MTF(sw10,e100)+RM15x3+f60","MTF(sw10,e100)",2.577,42.98,54.66,11.68,43.6,1.79,-5.3,20.1,2446,10.82,23.9
"MTF(sw10,e100)+RM2x2+f40","MTF(sw10,e100)",2.24,35.64,46.79,11.15,50.6,1.73,-6.0,19.5,2377,7.77,23.5
"MTF(sw10,e100)+RM2x2+f60","MTF(sw10,e100)",2.335,44.18,56.17,11.99,50.6,1.73,-6.4,19.5,2377,8.46,25.2
StochRSI+RM1x2+f40,StochRSI,-0.225,-1.55,8.45,10.0,37.5,1.22,-3.9,33.5,4072,1.92,12.3
StochRSI+RM1x2+f60,StochRSI,-0.04,-0.32,10.27,10.6,37.5,1.22,-4.1,33.5,4072,2.17,13.0
StochRSI+RM1x3+f40,StochRSI,0.16,1.48,10.62,9.14,30.6,1.28,-4.3,31.1,3784,2.31,12.1
StochRSI+RM1x3+f60,StochRSI,0.279,2.94,12.54,9.61,30.6,1.28,-4.4,31.1,3784,2.68,12.7
StochRSI+RM15x2+f40,StochRSI,0.07,0.96,9.95,8.98,38.7,1.22,-6.2,27.3,3318,1.33,13.5
StochRSI+RM15x2+f60,StochRSI,0.213,3.51,13.22,9.71,38.7,1.22,-6.4,27.3,3318,1.76,14.6
StochRSI+RM15x3+f40,StochRSI,0.264,4.5,12.97,8.47,35.1,1.29,-6.6,25.3,3073,1.47,13.8
StochRSI+RM15x3+f60,StochRSI,0.395,7.97,17.04,9.07,35.1,1.29,-6.8,25.3,3073,1.95,14.8
StochRSI+RM2x2+f40,StochRSI,0.175,3.76,12.46,8.7,42.0,1.27,-7.6,23.3,2832,1.27,15.4
StochRSI+RM2x2+f60,StochRSI,0.308,7.74,17.25,9.5,42.0,1.27,-8.0,23.3,2832,1.68,16.8
Ichimoku+RM1x2+f40,Ichimoku,0.203,-1.75,0.32,2.06,35.6,1.1,-1.1,17.1,2085,0.32,4.9
Ichimoku+RM1x2+f60,Ichimoku,0.203,-1.75,0.32,2.06,35.6,1.1,-1.1,17.1,2085,0.32,4.9
Ichimoku+RM1x3+f40,Ichimoku,-13.041,-1.9,-0.05,1.85,27.4,1.06,-1.7,17.0,2074,-0.14,4.5
Ichimoku+RM1x3+f60,Ichimoku,-13.041,-1.9,-0.05,1.85,27.4,1.06,-1.7,17.0,2074,-0.14,4.5
Ichimoku+RM15x2+f40,Ichimoku,0.838,-1.88,0.56,2.44,35.5,1.01,-2.6,16.8,2048,0.01,6.0
Ichimoku+RM15x2+f60,Ichimoku,0.838,-1.88,0.56,2.44,35.5,1.01,-2.6,16.8,2048,0.01,6.0
Ichimoku+RM15x3+f40,Ichimoku,0.589,-1.99,0.59,2.59,32.1,1.07,-3.0,16.8,2040,0.08,6.3
Ichimoku+RM15x3+f60,Ichimoku,0.589,-1.99,0.59,2.59,32.1,1.07,-3.0,16.8,2040,0.08,6.3
Ichimoku+RM2x2+f40,Ichimoku,1.318,-1.98,0.45,2.44,38.6,1.03,-3.4,16.6,2020,-0.15,6.0
Ichimoku+RM2x2+f60,Ichimoku,1.318,-1.98,0.45,2.44,38.6,1.03,-3.4,16.6,2020,-0.15,6.0
FibRet+RM1x2+f40,FibRet,-1.194,-5.02,1.37,6.39,28.6,1.03,-2.0,75.9,9232,0.55,3.5
FibRet+RM1x2+f60,FibRet,-1.194,-5.02,1.37,6.39,28.6,1.03,-2.0,75.9,9232,0.55,3.5
FibRet+RM1x3+f40,FibRet,-0.75,-4.33,1.32,5.65,22.9,1.06,-2.1,68.1,8283,0.42,3.4
FibRet+RM1x3+f60,FibRet,-0.75,-4.33,1.32,5.65,22.9,1.06,-2.1,68.1,8283,0.42,3.4
FibRet+RM15x2+f40,FibRet,1.069,-4.35,0.47,4.82,24.4,1.02,-2.5,63.8,7759,0.06,3.1
FibRet+RM15x2+f60,FibRet,1.069,-4.35,0.47,4.82,24.4,1.02,-2.5,63.8,7759,0.06,3.1
FibRet+RM15x3+f40,FibRet,-0.721,-4.07,1.71,5.78,22.5,1.05,-2.9,60.0,7304,0.44,4.0
FibRet+RM15x3+f60,FibRet,-0.721,-4.07,1.71,5.78,22.5,1.05,-2.9,60.0,7304,0.44,4.0
FibRet+RM2x2+f40,FibRet,-0.758,-4.23,1.22,5.45,23.0,1.03,-2.9,59.9,7291,0.36,3.7
FibRet+RM2x2+f60,FibRet,-0.758,-4.23,1.22,5.45,23.0,1.03,-2.9,59.9,7291,0.36,3.7
MktStruct+RM1x2+f40,MktStruct,0.782,0.07,0.1,0.03,59.1,3.49,-0.0,0.5,64,3.37,2.0
MktStruct+RM1x2+f60,MktStruct,0.782,0.07,0.1,0.03,59.1,3.49,-0.0,0.5,64,3.37,2.0
MktStruct+RM1x3+f40,MktStruct,0.741,0.09,0.12,0.03,49.7,3.08,-0.0,0.5,63,2.85,2.0
MktStruct+RM1x3+f60,MktStruct,0.741,0.09,0.12,0.03,49.7,3.08,-0.0,0.5,63,2.85,2.0
MktStruct+RM15x2+f40,MktStruct,0.849,0.12,0.14,0.02,59.2,3.9,-0.0,0.5,59,3.4,2.0
MktStruct+RM15x2+f60,MktStruct,0.849,0.12,0.14,0.02,59.2,3.9,-0.0,0.5,59,3.4,2.0
MktStruct+RM15x3+f40,MktStruct,0.834,0.15,0.18,0.02,54.7,3.91,-0.1,0.5,58,3.92,2.0
