name,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,n_trades,calmar,frac_pct,sl_hits,tp_hits
"MTF(sw5,e50)+RM2x2+f50",1.863,18.15,26.84,8.7,49.2,1.63,-3.7,22.5,2742,7.96,15.9,114,90
"MTF(sw5,e50)+RM2x2+f60",1.863,18.15,26.84,8.7,49.2,1.63,-3.7,22.5,2742,7.96,15.9,114,90
SMC(sw5)+RM1x3+f50,1.854,12.69,22.87,10.18,37.8,1.71,-2.3,29.5,3585,10.32,14.2,217,120
SMC(sw5)+RM1x3+f60,1.854,12.69,22.87,10.18,37.8,1.71,-2.3,29.5,3585,10.32,14.2,217,120
"MTF(sw5,e50)+RM15x3+f60",1.848,16.2,24.39,8.2,42.5,1.65,-2.9,22.7,2766,8.13,14.8,146,72
"MTF(sw5,e50)+RM15x3+f50",1.848,16.2,24.39,8.2,42.5,1.65,-2.9,22.7,2766,8.13,14.8,146,72
"MTF(sw5,e50)+RM15x3+f40",1.848,16.2,24.39,8.2,42.5,1.65,-2.9,22.7,2766,8.13,14.8,146,72
SMC(sw7)+RM1x3+f50,1.787,12.95,22.15,9.2,37.7,1.71,-2.7,26.2,3186,8.94,14.4,195,108
SMC(sw7)+RM1x3+f60,1.786,12.94,22.14,9.2,37.7,1.71,-2.7,26.2,3186,8.94,14.4,195,108
SMC(sw7)+RM15x2+f50,1.771,15.92,24.78,8.85,46.7,1.64,-3.4,22.8,2777,7.31,15.9,137,112
SMC(sw7)+RM15x2+f60,1.771,15.92,24.78,8.85,46.7,1.64,-3.4,22.8,2777,7.31,15.9,137,112
SMC(sw5)+RM15x2+f50,1.752,16.02,26.34,10.32,46.1,1.63,-3.4,26.4,3206,9.65,16.1,158,127
SMC(sw5)+RM15x2+f60,1.752,16.02,26.34,10.32,46.1,1.63,-3.4,26.4,3206,9.65,16.1,158,127
"MTF(sw5,e100)+RM2x2+f40",1.741,17.43,25.63,8.2,49.3,1.65,-3.8,20.2,2454,7.43,16.7,103,81
"MTF(sw5,e100)+RM2x2+f50",1.737,17.41,25.61,8.2,49.3,1.65,-3.8,20.2,2454,7.39,16.7,103,81
"MTF(sw5,e100)+RM2x2+f60",1.737,17.41,25.61,8.2,49.3,1.65,-3.8,20.2,2454,7.39,16.7,103,81
"MTF(sw7,e50)+RM15x3+f40",1.721,17.24,25.02,7.78,42.9,1.68,-3.1,20.6,2505,7.91,15.5,133,66
"MTF(sw7,e50)+RM15x3+f50",1.719,17.29,25.07,7.78,42.9,1.68,-3.1,20.6,2505,7.92,15.5,133,66
"MTF(sw7,e50)+RM15x3+f60",1.719,17.29,25.07,7.78,42.9,1.68,-3.1,20.6,2505,7.92,15.5,133,66
"MTF(sw7,e50)+RM2x2+f40",1.671,17.21,25.48,8.27,49.9,1.64,-4.0,20.2,2462,7.18,16.8,104,82
"MTF(sw7,e50)+RM2x2+f50",1.66,17.2,25.49,8.29,49.9,1.64,-4.1,20.2,2462,7.08,16.8,104,82
"MTF(sw7,e50)+RM2x2+f60",1.659,17.2,25.49,8.29,49.9,1.64,-4.1,20.2,2462,7.08,16.8,104,82
SMC(sw7)+RM2x2+f50,1.641,15.69,22.83,7.14,49.1,1.62,-3.3,19.0,2310,8.05,15.4,99,77
SMC(sw7)+RM2x2+f60,1.641,15.69,22.83,7.14,49.1,1.62,-3.3,19.0,2310,8.05,15.4,99,77
"MTF(sw5,e100)+RM15x3+f40",1.609,13.4,21.1,7.71,42.3,1.66,-2.9,20.4,2482,7.41,15.5,130,65
"MTF(sw5,e100)+RM15x3+f50",1.608,13.39,21.09,7.71,42.3,1.66,-2.9,20.4,2482,7.41,15.5,130,65
"MTF(sw5,e100)+RM15x3+f60",1.608,13.39,21.09,7.71,42.3,1.66,-2.9,20.4,2482,7.41,15.5,130,65
"MTF(sw3,e50)+RM2x2+f40",1.579,13.61,22.33,8.72,47.9,1.55,-3.3,25.8,3135,6.94,13.9,129,98
"MTF(sw3,e50)+RM2x2+f60",1.574,13.57,22.29,8.73,47.9,1.55,-3.3,25.8,3135,6.9,13.9,129,98
"MTF(sw3,e50)+RM2x2+f50",1.574,13.57,22.3,8.72,47.9,1.55,-3.3,25.8,3135,6.9,13.9,129,98
SMC(sw7)+RM15x3+f60,1.549,14.59,21.33,6.74,41.7,1.64,-3.0,19.5,2371,6.62,14.2,127,61
SMC(sw7)+RM15x3+f50,1.549,14.59,21.33,6.74,41.7,1.64,-3.0,19.5,2371,6.62,14.2,127,61
"MTF(sw3,e50)+RM15x3+f40",1.517,11.87,20.56,8.7,41.4,1.57,-2.8,25.9,3153,7.31,13.8,165,78
"MTF(sw3,e50)+RM15x3+f50",1.517,11.87,20.56,8.7,41.4,1.57,-2.8,25.9,3153,7.31,13.8,165,78
"MTF(sw3,e50)+RM15x3+f60",1.517,11.87,20.56,8.7,41.4,1.57,-2.8,25.9,3153,7.31,13.8,165,78
SMC(sw10)+RM1x3+f50,1.478,9.55,17.38,7.83,37.1,1.64,-2.5,23.6,2869,7.98,13.6,177,95
SMC(sw10)+RM1x3+f60,1.478,9.55,17.38,7.83,37.1,1.64,-2.5,23.6,2869,7.98,13.6,177,95
