name,net_sharpe,gross_sharpe,net_pct,gross_pct,fee_cost_pct,winrate,profit_factor,max_dd,t_month,n_trades,avg_fraction
"Donchian(p50,ep25)",-0.001,0.242,-0.0,0.004,0.004,60.0,inf,-0.1,0.1,5,2.0
"Donchian(p40,ep20)",-0.001,0.242,-0.0,0.004,0.004,60.0,inf,-0.1,0.1,5,2.0
"HA(cb3,et100,os45)",-0.007,0.103,-0.005,0.074,0.079,37.6,1.28,-0.8,2.3,96,2.05
"Chandelier(p14,m2.5,et50)",-0.008,0.141,-0.009,0.155,0.164,37.2,1.32,-1.0,4.0,168,2.44
"MultiEMA(e1=21,e2=55,e3=100,adx>20)",-0.01,0.057,-0.011,0.063,0.074,55.4,1.34,-0.7,2.3,94,1.97
"Chandelier(p30,m3.0,et100)",-0.025,-0.047,0.137,0.254,0.116,44.1,1.67,-0.6,3.0,127,2.29
"MultiEMA(e1=21,e2=50,e3=100,adx>20)",-0.028,0.037,-0.033,0.043,0.076,54.3,1.26,-0.7,2.3,96,1.97
"SAR(af0.03,m0.2,et100)",-0.029,-0.048,0.282,0.471,0.189,41.0,1.32,-1.2,3.8,160,2.96
"HA(cb3,et200,os45)",-0.034,-0.009,-0.089,-0.023,0.066,43.8,1.21,-0.7,2.0,82,2.0
"Chandelier(p22,m2.5,et100)",-0.096,-0.114,0.846,1.004,0.158,44.8,1.7,-0.8,3.4,140,2.81
"MultiEMA(e1=21,e2=55,e3=100,adx>30)",-0.103,0.099,-0.024,0.024,0.048,60.5,1.26,-0.6,1.4,60,2.0
"MultiEMA(e1=21,e2=55,e3=200,adx>25)",-0.181,-0.095,-0.111,-0.058,0.053,53.2,1.04,-0.6,1.6,66,2.0
"CCI(p30,t150,et100)",-0.203,-0.141,-0.092,-0.064,0.028,40.4,0.98,-0.4,0.8,35,2.0
"CCI(p20,t100,et50)",-0.204,-0.163,-0.33,-0.263,0.066,47.9,1.06,-0.9,2.0,83,2.0
"Chandelier(p14,m2.0,et50)",-0.285,-0.438,0.348,0.536,0.188,37.7,1.27,-0.9,4.6,191,2.46
"Chandelier(p22,m2.0,et100)",-0.291,-0.364,0.646,0.809,0.163,41.5,1.46,-1.0,4.0,167,2.45
"Turtle(en40,ex20,et200)",-0.341,-0.197,-0.654,-0.378,0.276,44.0,1.32,-2.9,4.1,169,4.09
"WR(p14,os-80,et50)",-0.357,-0.244,-0.265,-0.182,0.084,47.5,1.13,-0.8,2.8,115,1.82
"WR(p14,os-85,et50)",-0.386,-0.266,-0.272,-0.188,0.084,47.1,1.02,-0.8,2.7,112,1.88
"HA(cb3,et50,os45)",-0.397,-0.295,-0.364,-0.27,0.094,34.6,1.04,-0.9,2.7,112,2.1
"ZScore(p100,z2.0,et200)",-0.574,-0.34,-0.338,-0.2,0.138,54.7,1.15,-1.0,2.9,121,2.85
"Turtle(en20,ex10,et200)",-0.667,-0.281,-0.837,-0.352,0.485,37.6,1.41,-2.1,6.1,253,4.79
"HA(cb4,et100,os45)",-0.755,-0.638,-0.325,-0.274,0.05,43.2,0.8,-0.5,1.5,63,2.0
"CCI(p20,t150,et50)",-0.803,-0.743,-0.386,-0.357,0.029,39.7,0.63,-0.6,0.9,36,2.0
"Chandelier(p14,m3.0,et50)",-0.903,-0.679,-0.589,-0.442,0.147,36.1,1.16,-1.0,3.8,159,2.3
"ZScore(p50,z2.0,et100)",-0.952,-0.706,-0.661,-0.49,0.171,57.0,0.88,-1.7,4.6,193,2.21
"Turtle(en30,ex15,et200)",-0.979,-0.756,-1.115,-0.861,0.254,37.1,1.04,-2.1,4.9,205,3.09
"HA(cb4,et200,os45)",-0.989,-0.87,-0.424,-0.373,0.051,40.7,0.71,-0.6,1.5,64,2.0
"HA(cb3,et100,os40)",-1.012,-0.767,-0.579,-0.439,0.14,35.3,1.15,-0.9,3.7,156,2.24
"Turtle(en30,ex15,et100)",-1.023,-0.794,-1.027,-0.797,0.23,35.0,0.97,-1.7,5.4,224,2.57
"Chandelier(p14,m2.0,et100)",-1.052,-0.68,-0.379,-0.245,0.134,39.0,0.99,-0.9,4.1,172,1.95
"Turtle(en25,ex12,et100)",-1.067,-0.773,-1.168,-0.847,0.322,34.7,1.19,-1.9,5.8,242,3.32
"Turtle(en30,ex10,et100)",-1.105,-0.505,-0.632,-0.289,0.343,35.1,1.25,-1.4,6.8,283,3.03
"Turtle(en20,ex10,et100)",-1.105,-0.505,-0.632,-0.289,0.343,35.1,1.25,-1.4,6.8,283,3.03
"ZScore(p50,z2.5,et100)",-1.316,-1.088,-1.048,-0.866,0.182,57.4,0.79,-2.2,3.5,145,3.13
